order,product_title,status,state,downloaded,error
1088461179,"4 1/1 1 088 461 179 1- Папка для тетрадей Tramix LK-706 A5, А5, мультиколор",ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1088437622,2 1/1 1 088 437 622 1- Краткая история человечества,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1088365459,1 1/1 1 088 365 459 1- Сейсембай М.: Миссия выполнима,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1088131494,"1 1/1 1 088 131 494 1- Папка для тетрадей Tramix LK-706 A5, А5, мультиколор",ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1087567543,1 1/1 1 087 567 543 1- Учебник Naomi s: Family and friends 1,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1087561771,3 1/1 1 087 561 771 1- Учебник Naomi s: Family and friends 1,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1087531806,2 1/1 1 087 531 806 1- Учебник Naomi s: Family and friends 1,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1087030218,"2 1/1 1 087 030 218 1- Папка для тетрадей Tramix LK-706 A5, А5, мультиколор",ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1087009404,"2 1/1 1 087 009 404 1- Папка для тетрадей Tramix LK-706 A5, А5, мультиколор",ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1077627791,2 1/1 1 077 627 791 1- Рабочая тетрадь Соколова Н. М.: Зертханалық практикум. Химия. 7 сынып,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1074726446,2. 1 1/1 1 074 726 446 1- Рабочая тетрадь Соколова Н. М.: Зертханалық тәжірибелер. Химия. 7 сыны,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1082723156,1 1/1 1 082 723 156 1- Рабочая тетрадь Соколова Н. М.: Зертханалық тәжірибелер. Химия. 7 сыны,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
1075047729,1 1/1 1 075 047 729 1- Рабочая тетрадь Соколова Н. М.: Зертханалық практикум. Химия. 7 сынып,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,yes,
