order,status,state,preorder,waybill,downloaded,error
1059801167,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1070395862,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1070334042,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1070080838,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1069985702,CANCELLED,ARCHIVE,True,,no,
1069921257,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1069860391,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1069813127,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1069755693,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1069576196,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1069454515,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1069258762,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1069169130,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1069146731,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1057720610,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1066156954,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1065711562,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1062662579,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,True,,no,
1055168337,CANCELLED,ARCHIVE,True,,no,
