order,status,state,waybill,downloaded,result,error
1081997023,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/RWVMdTNneGF2dU54a1ZEeHVhRzhuZy4uNVA1d3NlaGkyTnhHM1BvMzBRVnZYZy4u,yes,Заказ переведён в «Передача»; Kaspi готовит PDF накладной,
1081318814,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/S0IyNkd1SFJZZ1hBSkxjSFZTTEdOdy4uSkFaTHIxMGF2U1p1X2hhOWN3dk1aQS4u,yes,Заказ переведён в «Передача»; Kaspi готовит PDF накладной,
1080925507,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/dWlQQnpEZkd0aWhpNzhtSUxPTXRfUS4uOXA1VGZnd3pYNklBMUhkT2g2cnJSdy4u,yes,Заказ переведён в «Передача»; Kaspi готовит PDF накладной,
1069176927,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/Uk5aSGZmaC1qTkdId05vMjFyVWJXUS4ubFhxc3lwc1VEdElZZUc3LTZJZ2RzQS4u,yes,Заказ переведён в «Передача»; Kaspi готовит PDF накладной,
1078089655,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/UnVlYmZnTjl6ZS1ycHFHUi13QVJ6Zy4uZ2Rpb1E3am9VN00yWUNsWXFvZzlMUS4u,yes,Заказ переведён в «Передача»; Kaspi готовит PDF накладной,
1067163903,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/VzFxZ1FheUdtUk91MERxc2tPZ3ZkQS4uMng3ZHZWYlptT2FEM0VzUHpOZXQ1QS4u,yes,"Уже в «Передача», накладная сформирована",
1071194061,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/Ym9WZXN3dk94M1JlbWloSDBlMldQUS4ua2tSeGJ1UTJOVEpxMFZCZVdqa19PZy4u,yes,"Уже в «Передача», накладная сформирована",
1072030482,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/LVVLckxfT1IzQlhBaFJ2a0ttSHg4Zy4uUjhOaC12cE84Y0g0N1ZVY09zeVBwUS4u,yes,"Уже в «Передача», накладная сформирована",
1070932708,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/WFF5TTl6dUVGMzdxcXFjeFRpakdFdy4uMDdHUzVYWDdOV2M2ckM3MFVOQXVhUS4u,yes,"Уже в «Передача», накладная сформирована",
1059471851,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/QzVSemN1MnVpWThwNU54a2pocFJzUS4uUk8zcURyRThySF93UG5lTDJDcEJ0US4u,yes,Заказ переведён в «Передача»; Kaspi готовит PDF накладной,
