SKU,PhotoURL
107741855_565183077,https://resources.cdn-kaspi.kz/img/m/p/hae/h37/66173841539102.jpg?format=gallery-large
107903020_310165602,https://resources.cdn-kaspi.kz/img/m/p/hff/h96/66538557145118.jpg?format=gallery-large
108272500_947195992,https://resources.cdn-kaspi.kz/img/m/p/h9a/h58/67431910506526.jpg?format=gallery-large
108548414_203978671,https://resources.cdn-kaspi.kz/img/m/p/h3a/h4e/68134071468062.jpg?format=gallery-large
108592048_023023157,https://resources.cdn-kaspi.kz/img/m/p/ha1/h9b/68248849416222.jpg?format=gallery-large
108777301_369711555,https://resources.cdn-kaspi.kz/img/m/p/h6b/h29/68705822015518.jpg?format=gallery-large
108809970_352766506,https://resources.cdn-kaspi.kz/img/m/p/h3b/hf0/68782484848670.jpg?format=gallery-large
109017831_453880941,https://resources.cdn-kaspi.kz/img/m/p/p73/pa6/23046226.jpg?format=gallery-large
109034001_527068053,https://resources.cdn-kaspi.kz/img/m/p/hba/h3b/69332876230686.jpg?format=gallery-large
109311896_510473333,https://resources.cdn-kaspi.kz/img/m/p/p23/p0a/37198899.jpg?format=gallery-large
109401830_259141017,https://resources.cdn-kaspi.kz/img/m/p/h2f/h01/70167086628894.jpg?format=gallery-large
109488802_863532365,https://resources.cdn-kaspi.kz/img/m/p/ha2/h36/79165706600478.jpg?format=gallery-large
109521799_688713739,https://resources.cdn-kaspi.kz/img/m/p/h77/h76/79249808162846.jpg?format=gallery-large
109563421,https://resources.cdn-kaspi.kz/img/m/p/p2d/p4d/70897595.jpeg?format=gallery-large
109782650_882028535,https://resources.cdn-kaspi.kz/img/m/p/p3c/p26/37199175.jpg?format=gallery-large
109972948_569784426,https://resources.cdn-kaspi.kz/img/m/p/h6b/h23/80264837693470.jpg?format=gallery-large
110048226_622001554,https://resources.cdn-kaspi.kz/img/m/p/hc1/h3a/80454594789406.jpg?format=gallery-large
110494114_705022937,https://resources.cdn-kaspi.kz/img/m/p/pc2/p12/104392751.png?format=gallery-large
110700807_945320717,https://resources.cdn-kaspi.kz/img/m/p/hfe/hd4/81111676059678.jpg?format=gallery-large
1110000,https://resources.cdn-kaspi.kz/img/m/p/p20/pca/117930586.jpeg?format=gallery-large
111010351_279156719,https://resources.cdn-kaspi.kz/img/m/p/h79/he1/81413944705054.jpg?format=gallery-large
111386737_580370750,https://resources.cdn-kaspi.kz/img/m/p/h15/h23/81762827370526.jpg?format=gallery-large
112209318_588506326,https://resources.cdn-kaspi.kz/img/m/p/h78/h2d/82376667365406.jpg?format=gallery-large
112289366_989248739,https://resources.cdn-kaspi.kz/img/m/p/he7/h9c/82465120616478.jpg?format=gallery-large
112371282_931748610,https://resources.cdn-kaspi.kz/img/m/p/hf7/hf8/82574749532190.jpg?format=gallery-large
