order,status,state,waybill,downloaded,result,error
1086208544,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/OURrMXRpXzNBNU1LME9YcFlKOTR4Zy4uMmd3cHRPRDRrc0owTTZPZWd0ZExqUS4u,yes,«Прибыл» установлен и заказ переведён в «Передача»; Kaspi ещё готовит ссылку на накладную,
1086146038,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/cGtGYk8ta2VuOGdOWExHU09rZmQzUS4uZ3ZFTWFwWExYeWJzRGdFdTNQTDV2QS4u,yes,«Прибыл» установлен и заказ переведён в «Передача»; Kaspi ещё готовит ссылку на накладную,
1086071163,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/MFlKR1V5R3BzRVB1dzhFWjhiRDE3dy4ucWdZUHpWTnpOZE0zZWVFLUptY3pDUS4u,yes,«Прибыл» установлен и заказ переведён в «Передача»; Kaspi ещё готовит ссылку на накладную,
1086032601,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/bURhcC1jZ0pvVzJFZlczdGgtSWNkdy4uTGxvZTJZODBZSUdCMXRnTWw3Rnp4dy4u,yes,«Прибыл» установлен и заказ переведён в «Передача»; Kaspi ещё готовит ссылку на накладную,
1086014063,ACCEPTED_BY_MERCHANT,PICKUP,,no,Kaspi не сформировал накладную: Kaspi API HTTP 400: Order 1086014063 is not kaspi delivery,Kaspi API HTTP 400: Order 1086014063 is not kaspi delivery
1085984485,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/cWtTcFRGMU5PSmxkVks0YUhYbG5Jdy4ueF9zNGRhYVREWUNhWVN0SnhXendKdy4u,yes,«Прибыл» установлен и заказ переведён в «Передача»; Kaspi ещё готовит ссылку на накладную,
1085931601,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/amFFUDRPaWRURGJ6OUxuZEM2X19HQS4uSFVzWnpIa0I2d2V4MGRuMlNpTUdKUS4u,yes,«Прибыл» установлен и заказ переведён в «Передача»; Kaspi ещё готовит ссылку на накладную,
1085791888,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/RWNlMVpLQkt4a1JVSk05dVpabWx4US4uZ1V4b3V5M2dneHBta2VTS2ZhNV85US4u,yes,«Прибыл» установлен и заказ переведён в «Передача»; Kaspi ещё готовит ссылку на накладную,
1076280695,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/S3I5LWtwVGZWbzl6QzIteFpENEFFUS4uQ25HUmlSMTh6WmJQeHlnMkFrVHJIUS4u,yes,Заказ переведён в «Передача»; Kaspi готовит PDF накладной,
1075839661,ACCEPTED_BY_MERCHANT,KASPI_DELIVERY,https://kaspi.kz/shop/api/waybill/bGRBNHJQbTJ0d0lpTHUtUkM1RUczdy4uUmJHNlZNTWljdm1NaTFURUVOT0o4QS4u,yes,Заказ переведён в «Передача»; Kaspi готовит PDF накладной,
